127.0.0.1 - - [23/Apr/2022:14:51:11 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:13 +0700] "GET /Spring_MVC_Project_Final/assets/img/user/user9.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:13 +0700] "GET /Spring_MVC_Project_Final/assets/img/user/user10.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:13 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/img/dp.jpg HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:13 +0700] "GET /Spring_MVC_Project_Final/Roboto-Regular.ttf HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:13 +0700] "GET /Spring_MVC_Project_Final/resources-management/assets/plugins/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:13 +0700] "GET /Spring_MVC_Project_Final/assets/img/user/user3.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:13 +0700] "GET /Spring_MVC_Project_Final/assets/img/user/user1.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:13 +0700] "GET /Spring_MVC_Project_Final/assets/img/user/user5.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:13 +0700] "GET /Spring_MVC_Project_Final/assets/img/user/user8.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:13 +0700] "GET /Spring_MVC_Project_Final/assets/img/user/user2.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [23/Apr/2022:14:51:13 +0700] "GET /Spring_MVC_Project_Final/assets/img/dp.jpg HTTP/1.1" 404 682
